"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","subject","condition","question_order"
"1197","Welcome to the experiment. Press any key to begin."," ","html-keyboard-response","0","2.0.0","1199","wg0n22ekv7","1",""
"1768","","{""TakenSurveyBefore"":""Unsure""}","survey-multi-choice","1","null","2970","wg0n22ekv7","1","[0]"
"755","<strong> Please read the below scenario. Once done, press any key to continue. </strong> <p>
        <div style=""max-width: 500px; color: #0000FF; margin: 0 auto; font-size: 16px;"">
        Imagine that you are waiting to brush your teeth while your friend is in the bathroom. As she leaves, you notice a cup and a pregnancy test. Your friend <strong>forgets to tell you</strong> that the cup contains her urine for her pregnancy test. You finish brushing your teeth and use that cup to rinse out your mouth.
           </div>
        </p>
             "," ","html-keyboard-response","2","2.0.0","3727","wg0n22ekv7","1",""
"2039","","{""Q0"":6}","survey-likert","3","null","5769","wg0n22ekv7","1","[0]"
"509","<strong> Please read the below scenario. Once done, press any key to continue. </strong> <p>
        <div style=""max-width: 500px; color: #0000FF; margin: 0 auto; font-size: 16px;"">
        Imagine you were adopted at birth - you have never met your birth parents. The weekend of your college reunion, you go to your school’s football game and meet someone a bit older. You <strong>have no idea</strong> that this person is actually your biological parent. You two get along really well and, that night, end up sleeping together (using two forms of birth control to be safe).
           </div>
        </p>
             "," ","html-keyboard-response","4","2.0.0","6279","wg0n22ekv7","1",""
"1806","","{""Q0"":6}","survey-likert","5","null","8086","wg0n22ekv7","1","[0]"
"476","<strong> Please read the below scenario. Once done, press any key to continue. </strong> <p>
        <div style=""max-width: 500px; color: #0000FF; margin: 0 auto; font-size: 16px;"">
        Imagine your cousin is over for dinner. You <strong>have no idea</strong> she is allergic to peanuts. You decide to add peanuts to the dish because they really bring out the flavor for you. You grind up the peanuts, add them in, and serve your cousin.
           </div>
        </p>
             "," ","html-keyboard-response","6","2.0.0","8563","wg0n22ekv7","1",""
"1538","","{""Q0"":6}","survey-likert","7","null","10102","wg0n22ekv7","1","[0]"
"1764","<strong> Please read the below scenario. Once done, press any key to continue. </strong> <p>
        <div style=""max-width: 500px; color: #0000FF; margin: 0 auto; font-size: 16px;"">
        Imagine you and a co-worker are taking a tour of a chemical plant. During the coffee break, you go to pour some coffee. You like yours black, but your co-worker asks for sugar in hers. You spoon some powder into your co-worker’s coffee. <strong>You do not know that someone replaced the sugar with poison.</strong>
           </div>
        </p>
             "," ","html-keyboard-response","8","2.0.0","11868","wg0n22ekv7","1",""
"3566","","{""Q0"":5}","survey-likert","9","null","15436","wg0n22ekv7","1","[0]"
"542","<strong> Please read the below scenario. Once done, press any key to continue. </strong> <p>
        <div style=""max-width: 500px; color: #0000FF; margin: 0 auto; font-size: 16px;"">
        Imagine that a car just killed your beloved dog. Your significant other has heard that dog meat is delicious and freezes the meat of your dog before it goes bad. Later, you decide to make yourself dinner. You see a package in the freezer. It is <strong>incorrectly labeled “beef” – but it is actually the meat from your dog. Without realizing it</strong>, you end up eating your dog for dinner.
           </div>
        </p>
             "," ","html-keyboard-response","10","2.0.0","15980","wg0n22ekv7","1",""
"1471","","{""Q0"":5}","survey-likert","11","null","17452","wg0n22ekv7","1","[0]"
"550","<strong> Please read the below scenario. Once done, press any key to continue. </strong> <p>
        <div style=""max-width: 500px; color: #0000FF; margin: 0 auto; font-size: 16px;"">
        Imagine you are at a dorm party and really hit it off with someone. This person feels the same way about you. At the end of the night, you decide to sleep together (using two forms of birth control to be safe). <strong>The next day, you end up talking, and you discover that you are actually long lost siblings.</strong>
           </div>
        </p>
             "," ","html-keyboard-response","12","2.0.0","18004","wg0n22ekv7","1",""
"1180","","{""Q0"":5}","survey-likert","13","null","19185","wg0n22ekv7","1","[0]"
"5081","","{""TakenSurveyBefore"":""No""}","survey-multi-choice","14","null","24268","wg0n22ekv7","1","[0]"
